# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.addArtifact.ms,1772304649398000000,1772304709422000000,0
compiler.ArtifactManagerBridge.commit.ms,1772304649398000000,1772304709422000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772304649398000000,1772304709422000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1772304649398000000,1772304709422000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772304649398000000,1772304709422000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772304649398000000,1772304709422000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1772304649398000000,1772304709422000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772304649398000000,1772304709422000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1772304649398000000,1772304709422000000,0
JVM.totalTimeAtSafepointsMs,1772304649398000000,1772304709422000000,514
JVM.GC.collectionTimesMs,1772304649398000000,1772304709422000000,471
JVM.GC.collections,1772304649398000000,1772304709422000000,48
OS.loadAverage,1772304649398000000,1772304709422000000,2.6025390625
JVM.committedHeapBytes,1772304649398000000,1772304709422000000,900726784
JVM.threadCount,1772304649398000000,1772304709422000000,159
JVM.maxThreadCount,1772304649398000000,1772304709422000000,161
JVM.usedNativeBytes,1772304649398000000,1772304709422000000,670488888
MEM.ramBytes,1772304649398000000,1772304709422000000,2155741184
JVM.totalBytesAllocated,1772304649398000000,1772304709422000000,5956840448
JVM.usedHeapBytes,1772304649398000000,1772304709422000000,622519120
JVM.totalDirectByteBuffersBytes,1772304649398000000,1772304709422000000,322938482
MEM.ramMinusFileMappingsBytes,1772304649398000000,1772304709422000000,1519435776
JVM.totalSafepointCount,1772304649398000000,1772304709422000000,824
JVM.newThreadsCount,1772304649398000000,1772304709422000000,174
JVM.maxHeapBytes,1772304649398000000,1772304709422000000,2147483648
MEM.ramPlusSwapMinusFileMappingsBytes,1772304649398000000,1772304709422000000,2377513984
MEM.fileMappingsRamBytes,1772304649398000000,1772304709422000000,635944960
JVM.totalTimeToSafepointsMs,1772304649398000000,1772304709422000000,189
JVM.totalCpuTimeMs,1772304649398000000,1772304709422000000,100375
WriteAction.executionsCount,1772304649398000000,1772304709422000000,68
NonBlockingReadAction.finalizedExecutionsCount,1772304649398000000,1772304709422000000,792
ReadAction.executionsCount,1772304649398000000,1772304709422000000,409779
NonBlockingReadAction.finalizedExecutionTimeUs,1772304649398000000,1772304709422000000,2736218
NonBlockingReadAction.failedExecutionsCount,1772304649398000000,1772304709422000000,49
NonBlockingReadAction.failedExecutionTimeUs,1772304649398000000,1772304709422000000,944806
Indexes.entries.lookupDurationMaxMs,1772304649398000000,1772304709422000000,0.0
Indexes.entries.lookupDurationAvgMs,1772304649398000000,1772304709422000000,0.0
Indexing.cache.totalCacheEvicted,1772304649398000000,1772304709422000000,21485
Indexes.entries.lookups,1772304649398000000,1772304709422000000,9571
Indexes.stubs.lookups,1772304649398000000,1772304709422000000,72765
Indexes.allKeys.lookupDurationAvgMs,1772304649398000000,1772304709422000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1772304649398000000,1772304709422000000,0
Indexing.writesQueuedMin,1772304649398000000,1772304709422000000,9223372036854775807
Indexes.stubs.lookupDuration90PMs,1772304649398000000,1772304709422000000,0.0
Indexes.stubs.lookupDurationMaxMs,1772304649398000000,1772304709422000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1772304649398000000,1772304709422000000,0
Indexes.stubs.lookupDurationAvgMs,1772304649398000000,1772304709422000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1772304649398000000,1772304709422000000,0.0
Indexing.cache.totalCacheMisses,1772304649398000000,1772304709422000000,21485
Indexing.cache.totalCacheAccesses,1772304649398000000,1772304709422000000,90403
Indexing.totalTimeIndexersSleptMs,1772304649398000000,1772304709422000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1772304649398000000,1772304709422000000,0
Indexes.entries.lookupDuration90PMs,1772304649398000000,1772304709422000000,0.0
Indexing.writesQueuedMax,1772304649398000000,1772304709422000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1772304649398000000,1772304709422000000,0
Indexes.allKeys.lookups,1772304649398000000,1772304709422000000,10
Indexes.allKeys.lookupDuration90PMs,1772304649398000000,1772304709422000000,0.0
FilePageCache.pageFastCacheHits,1772304649398000000,1772304709422000000,41282
StorageLockContext.competingThreads.max,1772304649398000000,1772304709422000000,0
FilePageCache.totalPageDisposalsUs,1772304649398000000,1772304709422000000,2247
FilePageCache.totalPageLoadsUs,1772304649398000000,1772304709422000000,265589
FilePageCache.uncachedFileAccess,1772304649398000000,1772304709422000000,249
DirectByteBufferAllocator.misses,1772304649398000000,1772304709422000000,297
StreamlinedBlobStorage.recordsRelocated,1772304649398000000,1772304709422000000,0
FilePageCache.maxCacheSizeInBytes,1772304649398000000,1772304709422000000,306225152
MappedFileStorage.totalTimeSpentOnMappingUs,1772304649398000000,1772304709422000000,12181
StorageLockContext.competingThreads.90P,1772304649398000000,1772304709422000000,0
DirectByteBufferAllocator.reclaimed,1772304649398000000,1772304709422000000,3
MappedFileStorage.totalPagesMapped,1772304649398000000,1772304709422000000,15
FileChannelInterruptsRetryer.totalRetriedAttempts,1772304649398000000,1772304709422000000,0
MappedFileStorage.totalBytesMapped,1772304649398000000,1772304709422000000,198443008
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772304649398000000,1772304709422000000,3165003
StorageLockContext.competingThreads.avg,1772304649398000000,1772304709422000000,0.0
FilePageCache.pageLoads,1772304649398000000,1772304709422000000,300
DirectByteBufferAllocator.hits,1772304649398000000,1772304709422000000,3
FilePageCache.maxRegisteredFiles,1772304649398000000,1772304709422000000,449
StreamlinedBlobStorage.recordsDeleted,1772304649398000000,1772304709422000000,20
FilePageCache.pageHits,1772304649398000000,1772304709422000000,384
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772304649398000000,1772304709422000000,15589212
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772304649398000000,1772304709422000000,306225152
FilePageCache.pageLoadsAboveSizeThreshold,1772304649398000000,1772304709422000000,0
FilePageCache.capacityInBytes,1772304649398000000,1772304709422000000,629145600
StreamlinedBlobStorage.recordsAllocated,1772304649398000000,1772304709422000000,217373
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772304649398000000,1772304709422000000,0
DirectByteBufferAllocator.disposed,1772304649398000000,1772304709422000000,0
MappedFileStorage.storages,1772304649398000000,1772304709422000000,14
FilePageCache.disposedBuffers,1772304649398000000,1772304709422000000,3
cacheStateStorage.get.counter,1772304649398000000,1772304709422000000,62
cacheStateStorage.get.duration,1772304649398000000,1772304709422000000,333
cacheStateStorage.set.duration,1772304649398000000,1772304709422000000,9
cacheStateStorage.set.counter,1772304649398000000,1772304709422000000,3
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772304649398000000,1772304709422000000,773
workspaceModel.entityStorageSnapshotImpl.instances.count,1772304649398000000,1772304709422000000,32
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772304649398000000,1772304709422000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1772304649398000000,1772304709422000000,0
workspaceModel.check.recursive.update.ms,1772304649398000000,1772304709422000000,0
workspaceModel.cachedValue.calculated.count,1772304649398000000,1772304709422000000,739
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772304649398000000,1772304709422000000,320
workspaceModel.workspaceFileIndexData.init.ms,1772304649398000000,1772304709422000000,88
workspaceModel.initializing.ms,1772304649398000000,1772304709422000000,23
workspaceModel.cachedValue.total.get.count,1772304649398000000,1772304709422000000,15488
workspaceModel.collect.changes.ms,1772304649398000000,1772304709422000000,0
workspaceModel.init.bridges.ms,1772304649398000000,1772304709422000000,24
workspaceModel.cachedValue.from.cache.count,1772304649398000000,1772304709422000000,14749
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772304649398000000,1772304709422000000,74
workspaceModel.on.changed.ms,1772304649398000000,1772304709422000000,17
workspaceModel.workspaceFileIndexData.markDirty.ms,1772304649398000000,1772304709422000000,0
workspaceModel.on.before.changed.ms,1772304649398000000,1772304709422000000,13
workspaceModel.updates.ms,1772304649398000000,1772304709422000000,101
workspaceModel.replace.project.model.ms,1772304649398000000,1772304709422000000,0
workspaceModel.loading.from.cache.ms,1772304649398000000,1772304709422000000,257
workspaceModel.update.unloaded.entities.ms,1772304649398000000,1772304709422000000,0
workspaceModel.pre.handlers.ms,1772304649398000000,1772304709422000000,0
workspaceModel.workspaceFileIndexData.instances.count,1772304649398000000,1772304709422000000,1
workspaceModel.full.replace.project.model.ms,1772304649398000000,1772304709422000000,6
workspaceModel.cachedValueWithParameters.clear.count,1772304649398000000,1772304709422000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772304649398000000,1772304709422000000,3530
workspaceModel.loading.total.ms,1772304649398000000,1772304709422000000,302
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772304649398000000,1772304709422000000,0
workspaceModel.to.snapshot.ms,1772304649398000000,1772304709422000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772304649398000000,1772304709422000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772304649398000000,1772304709422000000,174
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772304649398000000,1772304709422000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1772304649398000000,1772304709422000000,0
workspaceModel.updates.precise.ms,1772304649398000000,1772304709422000000,48
workspaceModel.cachedValue.clear.count,1772304649398000000,1772304709422000000,0
workspaceModel.updates.count,1772304649398000000,1772304709422000000,11
lexer.XML.time.ns,1772304649398000000,1772304709422000000,828959
parser.JAVA.size.bytes,1772304649398000000,1772304709422000000,20425404
DiskQueryRelay.taskExecutionTotalTimeUs,1772304649398000000,1772304709422000000,3706864
DiskQueryRelay.tasksRequested,1772304649398000000,1772304709422000000,10518
writeAction.median.wait.ms,1772304649398000000,1772304709422000000,400
writeAction.count,1772304649398000000,1772304709422000000,68
